Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Afghanistan,2009,7th,108.2,9.9,9.1,9.6,8.3,8.4,7.2,9.8,8.9,8.8,9.3,8.9,10.0
Albania,2009,109th,70.0,5.5,5.9,5.4,6.5,5.9,7.2,7.3,5.8,5.8,6.4,2.6,5.7
Algeria,2009,73rd,80.6,7.0,6.7,7.7,4.6,7.3,6.2,7.7,6.7,7.6,6.7,6.7,5.7
Angola,2009,55th,85.0,6.2,7.3,6.1,4.5,9.4,5.5,8.0,8.0,7.2,8.6,7.0,7.2
Antigua and Barbuda,2009,126th,62.8,5.0,4.4,4.3,4.8,6.5,7.8,5.8,5.0,5.0,4.7,3.6,5.9
Argentina,2009,148th,44.7,2.1,3.1,4.5,4.8,5.5,4.0,3.4,4.2,4.0,4.1,2.0,3.0
Armenia,2009,101st,74.3,5.3,6.9,6.0,5.3,6.5,6.7,7.1,5.4,6.1,5.9,7.2,5.9
Australia,2009,170th,25.9,1.0,1.5,3.4,2.8,4.4,1.1,1.4,1.4,2.5,3.1,2.2,1.1
Austria,2009,167th,27.6,1.0,2.4,3.6,2.3,4.9,1.1,1.6,1.4,1.6,2.9,2.2,2.6
Azerbaijan,2009,56th,84.6,7.3,7.9,7.9,6.1,7.4,5.7,8.2,5.5,7.0,6.4,8.2,7.0
Bahamas,2009,130th,60.9,5.3,4.8,5.0,4.4,6.9,5.7,5.5,4.6,3.0,6.7,3.7,5.3
Bahrain,2009,133rd,59.0,4.4,6.1,6.4,3.5,5.9,3.7,6.9,3.1,5.0,5.0,3.1,5.9
Bangladesh,2009,18th,98.1,8.0,8.9,9.4,8.0,9.0,8.4,8.5,8.0,7.6,8.9,6.9,6.5
Barbados,2009,135th,57.2,5.0,4.5,5.3,5.2,7.1,7.0,4.5,2.8,3.0,4.1,3.3,5.4
Belarus,2009,66th,82.3,6.6,8.1,6.9,6.6,7.2,5.0,8.9,6.6,8.0,7.2,4.1,7.1
Belgium,2009,162nd,33.5,1.7,3.5,4.9,3.2,4.9,1.3,2.8,2.0,1.7,2.8,1.7,3.0
Belize,2009,111th,69.5,5.9,4.6,4.9,6.0,7.3,6.9,6.2,5.7,4.0,7.0,5.0,6.0
Benin,2009,97th,75.5,5.2,4.3,4.1,6.9,7.4,7.0,6.6,8.0,5.6,7.5,6.2,6.7
Bhutan,2009,48th,87.3,5.5,7.7,7.9,7.5,8.7,6.8,7.4,7.2,8.4,6.5,7.5,6.2
Bolivia,2009,51st,86.3,6.4,8.2,7.5,7.0,8.7,6.9,7.6,7.7,6.8,7.8,4.9,6.8
Bosnia and Herzegovina,2009,63rd,83.3,7.4,8.7,8.2,5.5,7.3,5.8,8.2,5.6,5.4,5.5,7.2,8.5
Botswana,2009,116th,68.8,4.0,2.8,4.3,5.6,7.2,6.0,5.8,6.4,5.0,9.2,6.7,5.8
Brazil,2009,113th,69.1,6.9,5.1,6.4,4.1,8.9,5.0,6.4,6.0,5.6,6.4,3.9,4.4
Brunei Darussalam,2009,118th,68.1,6.1,7.4,6.6,3.4,7.8,4.0,7.9,3.6,6.8,5.4,4.4,4.7
Bulgaria,2009,128th,61.5,5.3,4.6,4.4,5.0,6.3,6.0,6.0,5.0,4.8,4.7,3.8,5.6
Burkina Faso,2009,35th,91.3,7.5,7.6,6.1,8.2,9.0,6.5,7.9,9.0,6.5,9.0,6.0,8.0
Burundi,2009,24th,95.7,7.3,7.7,7.5,8.0,8.4,6.5,7.5,9.0,7.6,9.2,8.1,8.9
Cambodia,2009,48th,87.3,6.5,7.5,7.0,7.5,7.2,8.0,8.5,7.9,7.4,7.9,5.2,6.7
