Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Afghanistan,2008,7th,105.4,9.6,8.8,9.5,8.5,8.1,7.0,9.2,8.3,8.4,9.1,8.9,10.0
Albania,2008,112th,69.7,5.5,5.7,5.4,6.3,6.1,7.5,7.2,5.9,5.4,6.2,2.7,5.8
Algeria,2008,80th,77.8,6.7,6.2,7.2,4.0,7.3,5.9,7.5,6.8,7.6,6.1,6.8,5.7
Angola,2008,56th,83.8,6.2,7.5,5.9,4.0,9.0,5.0,8.4,7.6,7.5,8.6,6.9,7.2
Antigua and Barbuda,2008,124th,64.1,5.2,4.6,4.9,4.6,6.9,7.9,6.0,4.9,5.5,4.9,3.3,5.4
Argentina,2008,151st,41.4,1.9,2.7,4.0,4.5,5.2,4.0,3.4,3.9,3.7,3.8,1.5,2.8
Armenia,2008,109th,70.7,4.5,6.0,5.0,5.6,6.0,6.7,6.5,6.0,5.5,5.8,7.5,5.6
Australia,2008,169th,24.6,0.9,1.5,3.5,2.3,4.4,1.1,1.0,1.4,2.5,2.9,2.0,1.1
Austria,2008,168th,25.9,1.0,2.0,3.5,1.9,4.9,1.1,1.3,1.4,1.5,2.8,2.2,2.3
Azerbaijan,2008,64th,81.0,7.2,7.5,7.3,5.9,7.0,5.3,8.1,5.5,6.9,6.0,7.8,6.5
Bahamas,2008,127th,60.5,5.4,5.3,5.3,3.7,7.2,5.4,5.9,4.3,3.0,6.2,3.6,5.2
Bahrain,2008,134th,56.8,3.7,6.0,6.0,3.3,5.0,3.7,7.0,3.4,4.7,5.3,3.1,5.6
Bangladesh,2008,12th,100.3,8.3,9.6,9.7,7.1,9.0,8.4,9.1,7.8,8.0,9.8,7.1,6.4
Barbados,2008,131st,58.5,5.3,4.8,5.5,5.0,7.0,6.9,5.9,2.6,3.0,4.1,3.3,5.1
Belarus,2008,53rd,84.4,6.5,8.5,6.7,6.7,7.2,5.0,9.3,6.6,8.8,7.7,4.3,7.1
Belgium,2008,164th,29.0,1.6,3.0,4.7,2.5,4.6,1.1,1.8,1.4,1.5,3.2,1.6,2.0
Belize,2008,110th,70.2,5.7,5.0,5.2,5.8,7.6,6.9,6.5,5.7,3.8,6.8,5.5,5.7
Benin,2008,100th,72.8,5.2,3.8,4.0,7.0,7.4,6.7,6.7,8.1,5.2,6.9,5.2,6.6
Bhutan,2008,51st,85.4,4.6,7.7,7.0,7.8,8.7,6.7,7.7,6.7,8.3,6.5,7.5,6.2
Bolivia,2008,55th,84.2,6.2,8.5,7.3,6.4,8.5,7.0,7.4,7.6,7.0,7.7,4.2,6.4
Bosnia and Herzegovina,2008,54th,84.3,7.3,8.6,8.5,5.5,7.2,6.0,7.9,5.4,5.3,6.1,8.0,8.5
Botswana,2008,120th,65.9,3.9,2.8,3.4,5.3,6.9,6.0,5.4,6.2,4.8,9.2,6.0,6.0
Brazil,2008,117th,67.6,7.1,4.9,6.1,3.7,8.8,5.0,6.2,6.0,5.6,6.3,3.3,4.6
Brunei Darussalam,2008,116th,68.5,6.3,7.4,6.7,3.2,7.4,4.2,7.7,3.3,6.8,5.9,4.9,4.7
Bulgaria,2008,131st,58.5,5.2,3.9,4.0,4.3,6.0,5.7,5.4,4.6,4.7,5.1,4.1,5.5
Burkina Faso,2008,36th,89.9,7.6,7.7,6.4,8.1,8.9,6.6,7.6,8.9,6.6,8.6,5.6,7.3
Burundi,2008,24th,94.1,6.8,7.8,6.7,8.0,8.8,6.5,7.1,9.0,7.5,9.1,8.2,8.6
Cambodia,2008,48th,85.8,6.2,7.2,7.5,6.6,7.2,8.0,8.3,7.6,7.1,7.8,5.7,6.6
Cameroon,2008,33rd,91.2,7.8,8.2,7.1,6.1,8.7,7.9,8.7,7.6,7.4,7.4,7.1,7.2
Canada,2008,167th,26.3,1.0,1.8,3.0,1.5,5.0,2.1,1.5,1.2,2.0,3.3,2.4,1.5
Cape Verde,2008,65th,80.7,5.8,6.4,4.8,7.8,6.2,8.2,7.3,7.2,6.4,7.9,4.8,7.9
Central African Republic,2008,10th,103.7,9.4,9.4,8.9,8.4,8.8,5.5,9.2,8.6,8.7,9.0,8.8,9.0
Chad,2008,4th,110.9,9.8,9.8,9.7,8.3,9.1,7.8,9.7,9.4,9.5,9.1,9.2,9.5
Chile,2008,157th,36.3,2.0,1.5,3.9,3.7,4.6,2.1,2.0,3.8,3.9,3.8,2.0,3.0
China,2008,68th,80.3,5.2,7.0,7.8,4.0,9.0,6.3,8.3,6.6,8.9,8.8,5.1,3.3
Colombia,2008,37th,89.0,8.0,8.3,7.4,3.8,8.4,8.4,7.9,6.0,7.2,6.8,9.2,7.6
